month,sentiment_score
2018-02,0.2857142857142857
2018-03,0.11290322580645161
2018-04,0.18518518518518517
2018-05,0.2903225806451613
2018-06,0.0
2018-07,0.16129032258064516
2018-08,0.0
2018-09,0.0
2018-10,0.0
2018-11,0.15
2018-12,0.0
2019-01,0.016129032258064516
2019-02,0.32142857142857145
2019-03,0.5967741935483871
2019-04,0.7666666666666667
2019-05,0.967741935483871
2019-06,0.85
2019-07,0.43548387096774194
2019-08,0.3548387096774194
2019-09,0.0
2019-10,0.0967741935483871
2019-11,0.13333333333333333
2019-12,0.0
2020-01,0.3870967741935484
2020-02,0.603448275862069
2020-03,0.0
2020-04,0.0
2020-05,0.22580645161290322
2020-06,0.21666666666666667
2020-07,0.2903225806451613
2020-08,1.0
2020-09,0.2833333333333333
2020-10,0.7096774193548387
2020-11,1.0
2020-12,1.0
2021-01,0.967741935483871
2021-02,1.0
2021-03,0.9516129032258065
2021-04,0.85
2021-05,0.3709677419354839
2021-06,0.0
2021-07,0.08064516129032258
2021-08,0.9032258064516129
2021-09,0.38333333333333336
2021-10,0.9193548387096774
2021-11,0.6166666666666667
2021-12,0.016129032258064516
2022-01,0.0
2022-02,0.16071428571428573
2022-03,0.1935483870967742
2022-04,0.1
2022-05,0.0
2022-06,0.0
2022-07,0.0
2022-08,0.04838709677419355
2022-09,0.0
2022-10,0.0
2022-11,0.0
2022-12,0.0
2023-01,0.3387096774193548
2023-02,0.7857142857142857
2023-03,0.6774193548387096
2023-04,0.9166666666666666
2023-05,0.6290322580645161
2023-06,0.6166666666666667
2023-07,0.8064516129032258
2023-08,0.3064516129032258
2023-09,0.23333333333333334
2023-10,0.6290322580645161
2023-11,1.0
2023-12,1.0
2024-01,0.8709677419354839
2024-02,1.0
2024-03,1.0
2024-04,1.0
2024-05,0.9193548387096774
2024-06,0.8166666666666667
2024-07,0.5806451612903226
2024-08,0.16129032258064516
2024-09,0.3333333333333333
2024-10,0.6833333333333333
2024-11,1.0
2024-12,1.0
2025-01,0.9838709677419355
2025-02,0.4107142857142857
2025-03,0.0967741935483871
2025-04,0.2833333333333333
2025-05,0.75
